id_incidente,distrito,tipo_delito,hora,dia_semana,latitud,longitud,iluminacion,reportes_previos_zona,cerca_universidad,cerca_paradero,horario_estudiantil,victima_joven,nivel_riesgo
INC-0001,La Victoria,Extorsión,18,Lunes,-12.064487,-77.009125,Buena,4,0,1,1,1,Bajo
INC-0002,Cercado de Lima,Hurto,9,Martes,-12.05062,-77.055638,Deficiente,3,1,0,1,1,Medio
INC-0003,Jesús María,Amenazas,19,Viernes,-12.07565,-77.055529,Regular,2,1,0,1,1,Medio
INC-0004,La Victoria,Robo al paso,20,Viernes,-12.061969,-77.017572,Buena,1,0,0,1,1,Medio
INC-0005,Rímac,Robo de celular,6,Sábado,-12.028093,-77.033762,Buena,5,0,1,0,0,Bajo
INC-0006,Cercado de Lima,Robo al paso,19,Miércoles,-12.041525,-77.034663,Deficiente,4,1,1,1,1,Alto
INC-0007,La Victoria,Robo al paso,8,Miércoles,-12.068194,-77.013179,Buena,3,0,0,1,0,Bajo
INC-0008,Rímac,Hurto,21,Sábado,-12.020669,-77.028647,Deficiente,2,0,1,0,0,Medio
INC-0009,Cercado de Lima,Robo de laptop,17,Miércoles,-12.048135,-77.043768,Regular,6,0,0,1,1,Medio
INC-0010,La Victoria,Robo al paso,8,Sábado,-12.069848,-77.021129,Regular,6,1,1,1,1,Alto
INC-0011,Cercado de Lima,Robo a vivienda,21,Lunes,-12.041158,-77.052104,Regular,4,0,0,0,0,Medio
INC-0012,Lince,Robo al paso,21,Sábado,-12.080717,-77.021165,Buena,4,0,1,0,0,Medio
INC-0013,Lince,Acoso en transporte,21,Lunes,-12.083816,-77.034642,Buena,4,1,0,0,1,Bajo
INC-0014,Rímac,Hurto,19,Viernes,-12.034106,-77.028825,Regular,5,1,1,1,1,Medio
INC-0015,La Victoria,Robo al paso,18,Domingo,-12.063505,-77.019345,Deficiente,6,1,1,1,1,Alto
INC-0016,La Victoria,Robo al paso,22,Domingo,-12.066051,-77.025458,Deficiente,9,0,1,0,0,Alto
INC-0017,Breña,Acoso en transporte,18,Lunes,-12.067605,-77.053212,Regular,3,0,1,1,1,Bajo
INC-0018,Cercado de Lima,Robo de laptop,21,Martes,-12.050782,-77.041501,Buena,7,0,1,0,1,Alto
INC-0019,Cercado de Lima,Amenazas,19,Martes,-12.036432,-77.04565,Regular,7,0,0,1,0,Medio
INC-0020,Cercado de Lima,Robo al paso,7,Lunes,-12.043737,-77.038152,Regular,3,0,0,1,0,Medio
INC-0021,Breña,Robo al paso,18,Sábado,-12.044512,-77.056189,Buena,1,1,1,1,1,Medio
INC-0022,La Victoria,Hurto,19,Jueves,-12.067311,-77.01507,Deficiente,2,0,0,1,1,Medio
INC-0023,Breña,Robo al paso,17,Lunes,-12.053502,-77.044588,Deficiente,5,1,1,1,1,Medio
INC-0024,Rímac,Robo de celular,23,Sábado,-12.019583,-77.032337,Deficiente,4,1,0,0,1,Medio
INC-0025,Lince,Robo al paso,21,Miércoles,-12.082509,-77.042436,Regular,5,0,1,0,0,Medio
INC-0026,La Victoria,Robo al paso,6,Viernes,-12.071333,-77.017138,Buena,4,0,1,0,1,Medio
INC-0027,La Victoria,Acoso en transporte,19,Viernes,-12.067681,-77.030822,Deficiente,2,0,0,1,1,Alto
INC-0028,Cercado de Lima,Hurto,23,Jueves,-12.047053,-77.04039,Buena,3,1,0,0,0,Medio
INC-0029,La Victoria,Amenazas,8,Jueves,-12.066074,-77.009893,Regular,3,0,1,1,0,Medio
